names,pvals,pvals_adj,logfoldchanges,pts,pts_rest,celltype
H2-DMa,1.7597377348728203e-10,2.399152886447131e-08,3.2563958,0.5573770491803278,0.10487650411652945,7
Zeb2,1.8758717537540682e-10,2.519875078627432e-08,3.28818,0.5573770491803278,0.10740975300823306,7
Ap2a2,2.406872056068205e-10,3.1407961137364316e-08,3.277904,0.5573770491803278,0.07422419252691577,7
Tnfrsf1a,1.1239569710412726e-09,1.3508927568390138e-07,3.7677703,0.5081967213114754,0.04648511716276124,7
Acer3,2.1421114754685095e-09,2.4156934904527283e-07,3.561279,0.5081967213114754,0.05763141228625712,7
Erp29,2.3543111943476555e-09,2.6226165371669097e-07,2.1579287,0.7049180327868853,0.22938568714376187,7
Etv6,6.1907703560276984e-09,6.214240859025825e-07,2.4972963,0.5901639344262295,0.1487017099430019,7
Pepd,9.221831509986951e-09,9.057722572900623e-07,2.9899642,0.5245901639344263,0.09056364787840405,7
Lamp2,1.5516041893881166e-08,1.4763675487464323e-06,2.4852526,0.5737704918032787,0.14654844838505382,7
Gsn,2.3269113246472206e-08,2.1417085023763286e-06,2.6987839,0.5409836065573771,0.1090563647878404,7
Cd2ap,2.879747734199945e-08,2.5789270272597447e-06,2.3894794,0.5737704918032787,0.1492083597213426,7
Dleu2,4.286625345409053e-08,3.642435276059441e-06,2.7260408,0.5245901639344263,0.10766307789740343,7
Nfe2l2,5.551566266650786e-08,4.610071096611055e-06,2.4112344,0.5573770491803278,0.14971500949968333,7
Prkcd,6.319845609482142e-08,5.224310381883676e-06,2.4104254,0.5573770491803278,0.1416086130462318,7
Mef2a,6.636308357939343e-08,5.436713784358469e-06,2.2821746,0.5737704918032787,0.16466117796073465,7
Prcp,8.129268824183941e-08,6.485310574192857e-06,2.3438556,0.5573770491803278,0.13654211526282456,7
Asah1,1.0327389077234948e-07,8.06286628427373e-06,2.3763204,0.5573770491803278,0.14566181127295758,7
Hexb,1.0745197247029103e-07,8.353362064084029e-06,2.1314976,0.6229508196721312,0.21405953134895503,7
Ehd4,1.3784523440579604e-07,1.0320879456391344e-05,2.1672072,0.5901639344262295,0.17834072197593415,7
Colgalt1,1.684207785633995e-07,1.2404769814278627e-05,2.5792322,0.5081967213114754,0.10107663077897404,7
Nrros,1.0492402191269954e-06,6.56457861754489e-05,2.134514,0.5409836065573771,0.1687143761874604,7
Uvrag,1.0855728934951527e-06,6.745690881381954e-05,1.8135391,0.639344262295082,0.23812539582013934,7
Ptpn6,1.3833623864817984e-06,8.126253195702885e-05,2.2698147,0.5081967213114754,0.1481950601646612,7
Mbnl2,1.4080528464962092e-06,8.218440080715415e-05,1.8252057,0.6065573770491803,0.21089297023432552,7
Ctsc,1.4448714233248133e-06,8.406482812968475e-05,1.9786416,0.5737704918032787,0.233692210259658,7
Stx7,1.4774315467674725e-06,8.514573163373804e-05,2.119101,0.5245901639344263,0.1395820139328689,7
Asap1,1.6239108358607621e-06,9.271008456356332e-05,2.109431,0.5245901639344263,0.13426219126029132,7
Kctd12,1.6728886119272372e-06,9.520872913177164e-05,1.8557653,0.6065573770491803,0.22647245091830273,7
Mt1,1.817090498062083e-06,0.00010277531365045262,2.167451,0.5245901639344263,0.1825205826472451,7
Rock2,3.0342237622177867e-06,0.00015974707179238255,1.8120897,0.5901639344262295,0.2064597846738442,7
Pea15a,4.8144594078266585e-06,0.00024568536011615986,2.158621,0.5081967213114754,0.1630145661811273,7
Hspa1a,5.322791826717343e-06,0.00026788452860137505,1.9072206,0.5245901639344263,0.1433818872704243,7
Msrb1,8.699804058089728e-06,0.000409630722518663,1.9868675,0.5081967213114754,0.15110829639012033,7
0610012G03Rik,1.0480348674572499e-05,0.00048106907019036425,1.6653847,0.5573770491803278,0.1713742875237492,7
Pip4k2a,1.0860283352832411e-05,0.0004960162914322383,1.8340153,0.5409836065573771,0.19214692843571882,7
Entpd1,1.4457953308205673e-05,0.0006395456391951802,1.8725021,0.5081967213114754,0.15351488283723877,7
Cyfip1,1.5922477354888257e-05,0.0006992493721068595,1.6920364,0.5737704918032787,0.21608613046231792,7
Mapk3,2.0161946301205207e-05,0.0008625467614885796,1.8323184,0.5081967213114754,0.15794806839772008,7
Man2b1,3.0396331306843408e-05,0.001207196905749396,1.6851357,0.5409836065573771,0.22685243825205825,7
Srsf9,3.302134830982018e-05,0.001305772753835725,1.5494621,0.5901639344262295,0.23774540848638379,7
Tmed3,3.813630257998959e-05,0.0014823661953911273,1.7468394,0.5081967213114754,0.1622545915136162,7
Klf4,4.795336898387411e-05,0.0018213307650029025,1.6462406,0.5409836065573771,0.20202659911336288,7
Vav3,8.494939926977168e-05,0.0030430207358028605,1.5798728,0.5245901639344263,0.1869537682077264,7
Qk,0.00012990822661422863,0.004486376922524278,1.5643061,0.5245901639344263,0.21735275490816972,7
Hpcal1,0.00022395204971531932,0.007127839714719806,1.404544,0.5737704918032787,0.23584547181760607,7
Pnp,0.00023891115661348275,0.007538286563336297,1.4638295,0.5245901639344263,0.2214059531348955,7
Tpd52,0.0002655200314443189,0.008239215279003596,1.4707873,0.5409836065573771,0.24141861937935402,7
Rnf13,0.0003910092140987995,0.011521527955437046,1.4456844,0.5081967213114754,0.20025332488917036,7
Ctnnb1,0.0007231140261138016,0.019090419281897458,1.3122374,0.5409836065573771,0.24724509183027232,7
Add3,0.0007609650137665293,0.019945580827117254,1.374553,0.5245901639344263,0.224572514249525,7
Slk,0.0007627425307180623,0.019963529074051977,1.3323174,0.5245901639344263,0.23559214692843572,7
Tcf12,0.0007980629522236032,0.02073941973566573,1.2990062,0.5245901639344263,0.22229259024699177,7
Klf3,0.0008489718556619067,0.021783520830178895,1.2321724,0.5245901639344263,0.20620645978467383,7
Ndufc1,0.0008522247869940587,0.021836317859178767,1.3060421,0.5245901639344263,0.23483217226092465,7
Dip2b,0.0009314251585236051,0.023650437987564447,1.2577143,0.5245901639344263,0.2429385687143762,7
Necap2,0.0016630022814956458,0.037694030621146346,1.2720032,0.5081967213114754,0.23077897403419886,7
Lims1,0.0017596408977653942,0.03944402400156563,1.1581866,0.5081967213114754,0.23457884737175427,7
Fgfr2,0.002657230899716329,0.05558942306548818,1.1544938,0.5081967213114754,0.23533882203926534,7
